datetime,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,quality,Porosity,AI,date,MarkerSize
2019-05-23 01:27:29+00:00,1.09,1575.85,0.82,1.23,0,1,22.64491763,28.83881848,2019-05-23,5.519267669
2019-05-23 01:27:34+00:00,0.37,1551.85,0.57,0.9,0,1,6.4742816,30.47378067,2019-05-23,5.039607429
2019-05-23 01:27:47+00:00,0.35,1695.85,0.49,0.58,0,1,6.7246025,29.66874754,2019-05-23,4.852628154
2019-05-23 01:27:49+00:00,0.31,2016.85,0.24,0.15,0,1,22.49596817,27.670133,2019-05-23,4.059577193
2019-05-23 01:27:51+00:00,1.2,1525.85,0.91,1.53,0,1,22.34197367,27.57401067,2019-05-23,5.664849048
2019-05-23 01:27:56+00:00,0.3,1546.85,0.43,0.69,0,1,10.02237427,28.89362573,2019-05-23,4.696724731
2019-05-23 01:27:59+00:00,1.52,1600.85,1.28,1.83,0,1,9.152507417,28.73521283,2019-05-23,6.16922324
2019-05-23 01:28:21+00:00,0.81,1544.85,0.59,0.96,0,1,9.619829289,27.52556078,2019-05-23,5.083244465
2019-05-23 01:31:54+00:00,0.54,1765.85,1.23,1.26,0,1,28.42985779,11.4602285,2019-05-23,6.10807374
2019-05-23 01:32:49+00:00,0.5,1651.85,0.33,0.42,0,1,16.73204075,10.28095638,2019-05-23,4.395987801
2019-05-23 01:32:50+00:00,0.435,1740.85,0.62,0.67,0,1,17.3616158,10.10505228,2019-05-23,5.146665181
2019-05-23 01:33:21+00:00,0.35,1509.85,0.23,0.4,0,1,16.3307054,8.3404077,2019-05-23,4.016612658
2019-05-23 01:34:26+00:00,2.59,1721.85,1.93,2.15,0,1,5.342561722,6.153069139,2019-05-23,6.83624031
2019-05-23 01:34:29+00:00,1.05,2083.85,1.17,0.67,0,1,6.559578438,5.802147563,2019-05-23,6.032182314
2019-05-23 01:34:29+00:00,1.01,1666.85,1.41,1.75,0,1,5.583429889,5.899797444,2019-05-23,6.32022838
2019-05-23 01:34:29+00:00,2.68,1557.85,2.93,4.59,0,1,6.627542292,5.770010708,2019-05-23,7.588307102
2019-05-23 01:34:29+00:00,0.99,1681.85,0.74,0.89,0,1,5.322125667,5.918494333,2019-05-23,5.379425824
2019-05-23 01:34:29+00:00,12.33,1527.85,13.91,23.33,0,1,6.487968444,5.714276056,2019-05-23,11.20107683
2019-05-23 01:34:31+00:00,0.625,1640.85,1.3,1.72,0,1,6.8152118,5.6174298,2019-05-23,6.19318184
2019-05-23 01:34:31+00:00,23.71,1505.85,26.44,46.57,0,1,6.520599278,5.662119167,2019-05-23,13.15204712
